职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
公关经理,杭州九天商业管理有限公司,杭州-江干区,1-2万/月,07-23,无工作经验,招1人,公关经理;公关主管;公关,07-23发布
班主任老师(五险一金+双休),温斯顿英语,长沙-岳麓区,6-8千/月,07-23,1年经验,大专,"院校教务管理人员;专业顾问;班主任,学管",招2人
审计经理,广州韵洪嘉泽广告有限公司,广州-越秀区,1-1.5万/月,07-23,3-4年经验,本科,审计经理/主管;审计、会计,招1人
品控总监/品管总监,河南伊赛牛肉股份有限公司,焦作,1.5-2万/月,07-23,8-9年经验,大专,质量管理/测试经理(QA/QC经理),招1人
会计专员,上海祝企创业孵化器有限公司,上海-徐汇区,5-7千/月,07-23,2年经验,大专,财务助理/文员;会计;财务助理;出纳;会计,招若干人
储备干部（底薪+提成+奖金+管住+晋升）,西安天虹电子科技有限公司,西安,5-8千/月,07-23,无工作经验,大专,储备干部;培训生;管培生;储备干部;管理;免费培训;管住;公平晋升,招6人
电站值班员,深圳市晟世联能源有限公司,深圳-罗湖区,4-5千/月,07-23,1年经验,高中,普工/操作工,招2人
双休+五险急聘客服,河南圣安易杰消防设备有限公司,郑州-金水区,0.5-1万/月,07-23,无工作经验,招5人,客服专员/助理;行政专员/助理;销售;客服;电销;双休;内勤;五险;行政;文员;话务员,07-23发布
文员,深圳市讯连精密技术有限公司,深圳-福田区,4.5-4.6千/月,07-23,无工作经验,招1人,行政专员/助理;文员,07-23发布
贝壳新房招聘房产经纪人,重庆闹海房江湖信息科技有限公司,重庆-南岸区,0.5-1万/月,07-23,无工作经验,大专,房地产销售,招5人
外贸业务员,广州佧特纺织品有限公司,广州-海珠区,0.4-1.2万/月,07-23,2年经验,中专,贸易/外贸专员/助理;贸易/外贸经理/主管;外贸业务,招2人
房地产销售（包住宿，非中介，不限购，垫付佣金）,北京阜康基业房地产经纪有限公司,南京,1.5-2万/月,07-23,无工作经验,高中,销售代表;房地产销售;一手房销售;楼盘销售;置业顾问;新房销售;房地产销售;非中介;非电销,招30人
行政主管,杭州天勤幕墙工程有限公司,杭州-余杭区,0.6-1万/月,07-23,无工作经验,大专,行政经理/主管/办公室主任;行政专员/助理;资质;行政;证书;行政主管;资质维护;企业文化;活动组织,招1人
人事行政专员,广东奥园奥买家电子商务有限公司,北京-东城区,4.5-6千/月,07-23,无工作经验,本科,人事专员;行政专员/助理,招1人
文员兼翻译,深圳市麟越健康教育有限公司,青岛-黄岛区,6-8千/月,07-23,无工作经验,大专,英语翻译,招1人
企业人力资源部人事专员,广西领智信息科技有限公司,南宁,3-4千/月,07-23,1年经验,大专,人事专员;客服专员/助理,招1人
销售顾问 APM Monaco,优雅益（深圳）贸易有限公司,成都-锦江区,4-8千/月,07-23,1年经验,高中,销售代表;外企;法资;珠宝;直营;奢侈品;时尚;店铺销售;apm;nonaco,招1人
高级产品经理,杭州决对信息科技有限公司,杭州-拱墅区,1.3-2.5万/月,07-23,无工作经验,本科,金融产品经理,招1人
电商策划主管,羲农记(广东)供应链管理有限公司,广州-海珠区,0.7-1万/月,07-23,无工作经验,招2人,网站运营经理/主管;文案/策划;电商策划,07-23发布
上汽大众4S店--油漆大工,重庆荣达惠众汽车销售服务有限公司,重庆-渝北区,0.8-1万/月,07-23,8-9年经验,高中,汽车喷漆;油漆,招2人
财务经理/  总监,百代商业（深圳）有限公司,深圳-南山区,1.5-3万/月,07-23,10年以上经验,大专,财务经理;财务总监;财务经理;财务总监,招1人
客户经理,广东星艺装饰集团广州有限公司集成家装馆,广州-天河区,30-40万/年,07-23,3-4年经验,大专,客户经理/主管;室内设计;管理;谈单;项目跟进,招1人
区域销售主管,南京襄土环境科技有限公司,南京-江宁区,1-1.5万/月,07-23,3-4年经验,本科,区域销售经理;环保;危废处置;垃圾分类,招5人
活动策划执行经理,广西柏思秀文化传播有限公司,南宁,6-8千/月,07-23,5-7年经验,中专,活动执行;活动策划,招若干人
清新文艺范可大龄微胖网拍,广州缔威服饰有限公司,长沙-开福区,380元/天,07-23,无工作经验,招若干人,兼职;网店模特;婚纱;彩妆;试衣;旗袍;古装;服装;模特;童模;网拍;街拍,07-23发布
储备管理/实习生/销售代表+（五险1金+专业培训）E,四川链家房地产经纪有限公司,成都-金牛区,4-8千/月,07-23,无工作经验,本科,销售代表;网络/在线销售;销售;市场营销;实习;业务员;销售代表;销售业务;置业顾问;房产销售;网络销售;电话销售,招9人
电话销售+餐补+不加班,成都市兴昌盛电子商务有限公司,成都-青羊区,3-8.5千/月,07-23,无工作经验,中专,电话销售;销售代表;销售;电销;网销;渠道专员,招5人
中级Java开发工程师,广东泓钊教育科技有限公司,广州-天河区,1.2-1.5万/月,07-23,3-4年经验,本科,互联网软件开发工程师;软件工程师;中级Java;Java中级;SpringCloud,招1人
制作广告喷绘/广告安装/安装工,深圳市生彩广告有限公司,深圳-福田区,4.5-6千/月,07-23,无工作经验,初中及以下,普工/操作工;技工;广告画制作;广告喷绘;广告安装;安装工,招8人
无责底薪3100+高提成+双休,成都中赢鑫融商务信息咨询有限公司,成都-锦江区,5-8千/月,07-23,无工作经验,招10人,销售代表;电话销售,07-23发布
人事专员,东莞市银蜂信息科技有限公司,东莞-万江区,3-4.5千/月,07-23,1年经验,高中,人事专员;人事专员,招若干人
销售业务员,宁波易代通资产管理有限公司,宁波-海曙区,6-8千/月,07-23,2年经验,大专,销售代表;客服专员/助理,招3人
销售专员双休包住,深圳市惠雅影视传媒有限公司,深圳-龙华新区,0.8-1万/月,07-23,无工作经验,高中,销售代表;双休，高薪,招10人
下午上班/网络客服,武汉众焱文化传媒有限公司,武汉-洪山区,4.5-6千/月,07-23,无工作经验,高中,网络推广专员;客服专员/助理;推广;网络推广;直播推广;销售专员,招5人
02398-企划主管,江西顺丰速运有限公司,南昌,5-8千/月,07-23,3-4年经验,本科,市场企划经理/主管;经营管理;统计学,招1人
综合内勤/保险运营,深圳市金斧子资本管理有限公司,深圳-南山区,0.8-1万/月,07-23,1年经验,本科,保险内勤;保险客户服务/续期管理,招若干人
VOC应用服务工程师,广州禾信仪器股份有限公司,河北省,4-6千/月,07-23,无工作经验,大专,环保检测;环保工程师;大气监测;环保检测;仪器运维,招若干人
续约销售（B2B+双休+五险一金）,北京瑞达恒建筑咨询有限公司广州分公司,杭州-下城区,0.6-1万/月,07-23,无工作经验,大专,客户代表;销售代表;客户服务;二次销售;续约;客户培训;销售,招2人
运营总监,上海边光实业有限公司,上海,1.5-2.5万/月,07-23,8-9年经验,本科,工厂经理/厂长;副总经理/副总裁;运营;副总;厂长,招1人
销售实习生(带薪培训+免费住宿+补助+五险一金）,太原品众智能科技有限公司,太原,0.6-1万/月,07-23,无工作经验,中专,销售代表;销售经理;实习生;应届毕业生;管理,招5人
吉家诚聘置业顾问应届毕业生+完善培训,武汉创诚房地产经纪有限公司,武汉-武昌区,4-8千/月,07-23,无工作经验,招25人,房地产销售;房地产中介/置业顾问;销售,07-23发布
售前售后技术支持（上海）,威纶通科技有限公司,上海-浦东新区,10-15万/年,07-23,2年经验,本科,售前/售后技术支持工程师;售前/售后技术支持主管;技术支持;售前售后;全勤奖;话补;出差补贴;周末双休,招若干人
财务专员,深圳市乐乐多科技有限公司,深圳-龙岗区,4.5-6千/月,07-23,无工作经验,招1人,会计;财务助理/文员,07-23发布
科研仪器销售工程师（西安）,河南德泉兴业商贸有限公司,郑州,4.5-6千/月,07-23,1年经验,大专,销售工程师;渠道销售;直销销售,招3人
亚马逊精品开发 / 产品经理,深圳市全洲隆科技有限公司,深圳-龙岗区,0.7-1.5万/月,07-23,1年经验,大专,产品经理/主管;产品专员;产品开发;亚马逊,招1人
分校校长,河南中建教育科技有限公司,郑州-金水区,1-1.5万/月,07-23,2年经验,大专,校长;销售经理;分校校长;销售经理,招3人
软件园-广告销售（双休+不加班）,武汉亿哲营销策划有限公司,武汉-东湖新技术产业开发区,0.8-1万/月,07-23,1年经验,大专,销售代表;电话销售;销售;销售代表;电话销售;网络销售;新媒体广告;互联网;客户;广告;业务员,招10人
移动应用开发(IOS),深圳前海禾茂实业集团有限公司,深圳,6-8千/月,07-23,3-4年经验,本科,手机软件开发工程师;移动端;IOS系统;软件开发,招3人
气氛活跃员,深圳市豪天活动策划有限公司,深圳-宝安区,1-1.5万/月,07-23,无工作经验,招30人,客服专员/助理;娱乐服务员;营销;咨客;销售;人事;客服,07-23发布
办公室文员,深圳市恒之信会计服务管理中心（有限合伙）,深圳,4.5-5千/月,07-23,1年经验,中专,行政专员/助理;图书管理员/资料管理员;资金管理文员;收入会计;成本会计;费用会计,招1人
人事主管,深圳市前海鹏翔易通供应链管理有限公司,深圳-宝安区,6-8千/月,07-23,3-4年经验,大专,人事主管,招若干人
经理助理/实习生月薪5000+免费公寓住宿,成都融创佳合科技有限公司,成都,4.5-6千/月,07-23,无工作经验,大专,大学/大专应届毕业生;中专/职校生;应届生;毕业生;管理层;销售专员,招2人
客户经理,宁波下凡来网络科技有限公司,宁波-江北区,0.5-1万/月,07-23,无工作经验,大专,销售代表;客户代表;电话面谈销售,招5人
包材开发,St Future International Ltd.,广州-白云区,6-8千/月,07-23,3-4年经验,大专,其他;其他;包装开发;包材开发;包材检测;供应商管理,招若干人
厂长助理,糯米图,中山,4-6千/月,07-23,2年经验,大专,化工技术应用/化工工程师;生产领班/组长;经理助理;技术员;工程师;生产领班;配色技术员;厂长助理,招若干人
CAE高级分析工程师,中材科技股份有限公司,南京,20-40万/年,07-23,无工作经验,博士,其他,招1人
污水处理工程师,四川鑫栩瑞环保工程有限公司,成都-金牛区,0.6-1万/月,07-23,3-4年经验,高中,水处理工程师;环保工程师;污水工程师;环保工程师;水处理工程师;环保技术,招2人
精准客户源+5-10K \网络销售\微信营销,中大互联集团,佛山-禅城区,0.5-1万/月,07-23,无工作经验,大专,网络/在线销售;销售代表;网络销售;微信营销;在线销售;销售代表,招6人
销售代表,福州向华生物工程有限公司,福州,6-8千/月,07-23,无工作经验,大专,销售代表;生物工程/生物制药;试剂销售代表,招2人
高级销售代表（应届生亦可）,南京保伦发电子设备有限公司,南京,8-20万/年,07-23,无工作经验,大专,大客户销售;渠道/分销专员;渠道销售;直销销售;电话销售;大客户销售;销售工程师;区域销售;销售代表;大客户销售;销售专员;市场营销,招5人
金融实习生/理财规划(周末双休),中国人寿保险股份有限公司西安分公司经济技术开发区营销服务部,西安-未央区,3-5千/月,07-23,无工作经验,大专,投资/理财顾问;金融产品经理;实习生;保险;国企;双休,招6人
人事行政助理,云南暮远教育咨询有限公司,昆明-盘龙区,4.5-6千/月,07-23,无工作经验,招1人,行政专员/助理;经理助理/秘书;行政助理;秘书,07-23发布
QA工程师,吉世科精密涂装（深圳）有限公司,深圳-宝安区,0.8-1万/月,07-23,3-4年经验,高中,质量管理/测试工程师(QA/QC工程师);体系工程师;QA;体系工程师,招1人
商务专员（五险一金/双休/节日福利）,广东蒙特电气工程有限公司,广州-黄埔区,3-6千/月,07-23,2年经验,大专,商务主管/专员;商务,招1人
7000招长白班临时工普工,深圳市泰养电子有限公司,深圳-龙岗区,6-8千/月,07-23,无工作经验,初中及以下,普工/操作工;组装工,招30人
临床监查员CRA,润东医药研发（上海）有限公司,武汉,0.8-1万/月,07-23,1年经验,大专,临床研究员;生物工程/生物制药,招1人
市场拓展经理,南宁市新娘百分百婚纱摄影馆,南宁,3-4.5千/月,07-23,无工作经验,大专,大客户管理;销售;市场经理,招3人
日本移民顾问,上海境华教育科技有限公司,上海-徐汇区,0.8-1万/月,07-23,3-4年经验,本科,专业顾问,招1人
网络销售（5K—20K）,常州积奇网络科技有限公司,常州,0.5-2万/月,07-23,无工作经验,大专,网络/在线销售;销售代表;销售;网络销售;销售代表;销售经理;销售顾问;商务代表;新媒体营销;互联网;网络;客服,招3人
市场推广专员（游戏方向）,深圳市天胜博科软件系统有限公司,深圳,0.8-1.3万/月,07-23,1年经验,大专,网络推广专员;市场/营销/拓展专员;网络;游戏;推广;微信群;QQ群,招1人
客服助理,东莞市尺度室内设计有限公司,东莞,3-4.5千/月,07-23,无工作经验,招1人,客服专员/助理,07-23发布
新媒体广告销售,广州未来网络信息有限公司,广州-海珠区,0.8-1.3万/月,07-23,无工作经验,大专,销售代表;电话销售;新媒体;广告销售;销售;区域销售;销售代表;电话销售;业务员;市场营销;销售经理;大客户销售,招若干人
月6K普工临时工包吃住***多待遇好,广州途观电子科技有限公司,东莞-洪梅镇,6-8千/月,07-23,无工作经验,初中及以下,普工/操作工;普工;临时工;包吃住;坐班;长白班;***多,招100人
天猫美工（平面设计）,深圳市金域东方实业有限公司,深圳-南山区,0.8-1万/月,07-23,1年经验,招1人,网店美工,07-23发布
KA销售工程师（底薪6-8K五险一金+双休）,苏州万仕恒人力资源服务有限公司,苏州-工业园区,1.5-2万/月,07-23,1年经验,大专,大客户销售;销售工程师;直销销售;电话销售;渠道销售;项目销售;招商;会销,招20人
自如管家（销售+服务，高薪）,杭州自如资产管理有限公司,杭州-萧山区,0.8-1万/月,07-23,无工作经验,招若干人,渠道/分销专员;销售工程师,07-23发布
AP人文地理老师,上海远播教育科技股份有限公司,上海-徐汇区,4-8千/月,07-23,1年经验,本科,兼职教师,招1人
咖啡店店长,深圳市瑞丰创新产业园投资管理有限公司,深圳-南山区,6-9千/月,07-23,2年经验,中专,咖啡师;店长/经理;咖啡店长,招1人
水电工程师（临港）,上海竹胜园地产,上海-浦东新区,1.5-2万/月,07-23,5-7年经验,本科,建筑机电工程师;房产项目配套工程师,招2人
证券顾问（无责底薪5k+做五休二）,上海汇正财经顾问有限公司,上海,1-1.5万/月,07-23,无工作经验,大专,网络/在线销售;股票咨询;做五休二;无责底薪;带薪培训;网络销售,招1人
知名日资企业(汽车) 技术营业(日语)(新规开拓),优异精彩（北京）科技有限公司上海分公司,上海-长宁区,1.8-2万/月,07-23,无工作经验,招1人,销售代表;销售工程师,07-23发布
仓库管理员,昆明隆新丰贸易有限公司,昆明,2-3千/月,07-23,1年经验,高中,仓库管理员,招1人
安环经理,广东同宇新材料有限公司,肇庆,1.5-2万/月,07-23,无工作经验,大专,环境/健康/安全经理/主管（EHS）;环境/健康/安全工程师（EHS）;安全、环保,招若干人
医学专员-肿瘤产品（哈尔滨）,恒瑞医药-江苏科信医药销售有限公司,哈尔滨-南岗区,6-8万/年,07-23,无工作经验,硕士,临床数据分析员;医药学术推广;医学;医学专员;医学项目;数据分析;文献整理;文献翻译;2019届,招15人
营销策划经理,广州正势传媒有限公司,广州-天河区,0.8-1.5万/月,07-23,3-4年经验,本科,文案/策划;营销策划;策划经理;策划,招1人
出纳,广东便捷神科技股份有限公司,佛山-顺德区,3.5-4.5千/月,07-23,无工作经验,大专,出纳员;出纳;会计助理;现金;收据;报销,招1人
研究院副院长,中铁轨道交通装备有限公司,南京-建邺区,1-2万/月,07-23,8-9年经验,本科,轨道交通工程师/技术员;技术研发经理/主管,招若干人
财务主管,杭州蕴宝网络科技有限公司,杭州-萧山区,0.8-1.5万/月,07-23,3-4年经验,大专,财务主管/总账主管;财务经理;总账财务;税务;成本,招1人
物业行政专员,大唐地产长沙城市公司,长沙,3.6-4.5千/月,07-23,无工作经验,招1人,物业管理专员/助理,07-23发布
OA系统工程师,李氏大药厂控股有限公司,广州-南沙区,0.8-1.2万/月,07-23,2年经验,招1人,系统工程师,07-23发布
（青羊区）实习生,中国人寿保险股份有限公司新津县支公司,成都-青羊区,2-4千/月,07-23,无工作经验,大专,其他;实习生;保险;成都;青羊区,招8人
95511远程催收内勤+六险二金+住宿,平安普惠投资咨询有限公司上海第一分公司,上海-浦东新区,1-1.5万/月,07-23,无工作经验,大专,销售代表;电话销售;销售;电话销售;客服;在线;催收;逾期账户管理;双休;长白班,招20人
后勤采购助理双休,湖北万物生汇科技有限公司,武汉-江夏区,6-8千/月,07-23,无工作经验,大专,采购助理;采购经理;后勤采购助理,招6人
链家德佑房地产销售包住,武汉兴万居房屋经纪有限公司,武汉-武昌区,0.6-1万/月,07-23,无工作经验,招5人,储备干部;销售经理;电销;面销;网销;销售;包住;徐东;房地产;实习生;应届生;普工,07-23发布
策划经理（上海）,旗智传播机构（广州）,上海-杨浦区,1.5-2万/月,07-23,无工作经验,招2人,广告客户经理;文案/策划;策划;文案;项目管理,07-23发布
软件/互联网开发/系统集成,广东金晖通信科技有限公司,梅州,4.5-5.5千/月,07-23,2年经验,大专,互联网软件开发工程师;软件;互联网开发;系统集成,招3人
人力资源总监,广东八块钱网络科技有限公司东莞分公司,东莞-莞城区,2-3万/月,07-23,10年以上经验,本科,人事总监,招1人
管理会计,挪亚检测认证集团有限公司,上海,0.7-1万/月,07-23,2年经验,本科,会计;财务助理/文员;管理会计;会计;财务;成本会计,招1人
毕业生/管培生/储备干部+五险+双休,容维证券,合肥-滨湖新区,6-8千/月,07-23,无工作经验,招5人,销售助理;应届毕业生;实习生,07-23发布
效果图设计师,广州源澳装饰设计有限公司,广州,4.5-6千/月,07-23,1年经验,中专,室内设计;助理;效果图;办公室;设计,招5人
项目助理,上海班德瑞工业用品有限公司,上海-长宁区,6-8千/月,07-23,2年经验,大专,商务助理;项目助理,招1人
跨境电商运营,广州瀚翼扬电子商务有限公司,广州-海珠区,4.5-8千/月,07-23,2年经验,大专,网站运营专员;贸易/外贸专员/助理;跨境电商;英语;亚马逊;外贸;Amazon;eBay;速卖通,招3人
总经理,陕西忠平路桥建筑工程有限公司,西安-雁塔区,0.8-1.5万/月,07-23,8-9年经验,本科,营运经理;首席执行官CEO/总裁/总经理,招1人
平面设计师,广州凯郡昇品餐饮管理有限公司,广州-白云区,6-8千/月,07-23,1年经验,大专,平面设计师,招1人
工程项目经理（防水）,深圳市卓宝科技股份有限公司武汉分公司,武汉-武昌区,8-15万/年,07-23,无工作经验,招若干人,建筑工程管理/项目经理;建筑工程验收,07-23发布
文员,广东构厦建设工程有限公司,广州-越秀区,2.5-4千/月,07-23,无工作经验,中专,其他,招1人
外贸单证员,无锡汉商纺织有限公司,无锡-滨湖区,3-4.5千/月,07-23,无工作经验,招1人,单证员;贸易/外贸专员/助理;外贸;单证;外贸单证,07-23发布
生产担当,上海清钰服饰有限公司,上海-普陀区,6-8千/月,07-23,5-7年经验,中专,生产主管;生产计划;QC,招2人
恩阳项目总经理,重庆猪八戒网络有限公司,武汉-硚口区,1-1.5万/月,07-23,5-7年经验,本科,办事处/分公司/分支机构经理,招1人
射频连接器设计工程师,苏州瑞贝斯电子科技有限公司,苏州,6-8千/月,07-23,2年经验,招1人,射频工程师;射频连接器;射频电缆组件;微波电缆组件,07-23发布
项目经理,广东卓源建设有限公司,东莞-南城区,1.5-2万/月,07-23,无工作经验,招5人,项目经理;项目管理;项目经理;建造师;工程师,07-23发布
网络销售+无责底薪4000,武汉云慧链科技有限公司,武汉-洪山区,0.6-3万/月,07-23,无工作经验,高中,网络/在线销售;销售代表;网络销售;网络客服,招15人
IE工程师,浙江摩根智能技术有限公司,宁波-镇海区,0.7-1万/月,07-23,3-4年经验,大专,工业工程师,招1人
汽车销售顾问（五险一金）,深圳市有道汽车贸易有限公司,深圳-福田区,0.8-1万/月,07-23,无工作经验,招2人,大客户销售;销售代表;汽车;销售;顾问;助理,07-23发布
结构工程师,深圳市小糯米科技有限公司,深圳,1-1.5万/月,07-23,5-7年经验,本科,结构工程师;工程/机械绘图员;结构工程师;手机结构工程,招1人
天猫运营/淘宝运营,上海傲石电子有限公司,上海-闵行区,6-8千/月,07-23,2年经验,大专,网店/淘宝运营;淘宝运营;天猫运营;京东运营;网店运营;店铺运营,招1人
电商平面设计,深圳市灼华互娱科技有限公司,深圳-龙岗区,4-6千/月,07-23,1年经验,大专,网页设计/制作/美工;平面设计师,招1人
保险内勤,中国人寿保险股份有限公司沈阳市和平区支公司,沈阳-沈河区,4.5-6千/月,07-23,无工作经验,大专,保险内勤;契约管理;内勤,招若干人
课程顾问销售（高提成+包住+多福利）,广州飞娱明星学院管理有限公司,广州-天河区,6-8千/月,07-23,无工作经验,招3人,销售代表;客户代表;销售;销售顾问;销售经理;客户经理;客户代表;销售代表;销售客服;咨询专员,07-23发布
总裁助理,中恒源投资集团,广州-越秀区,5-8千/月,07-23,2年经验,本科,总裁助理/总经理助理;助理;秘书,招1人
培训师,顾家家居股份有限公司,杭州-江干区,6.5-9千/月,07-23,3-4年经验,大专,培训督导;培训讲师,招1人
财务主管（急招）,广州中旺电器制造有限公司,广州-天河区,0.6-1万/月,07-23,5-7年经验,本科,财务主管/总账主管;会计经理/会计主管;财务主管;财务,招若干人
品质IQC,卓创国际香港有限公司,深圳-龙岗区,5-6千/月,07-23,1年经验,中技,其他,招3人
项目经理助理,印曼信息科技（上海）有限公司,上海-长宁区,6-8千/月,07-23,1年经验,招1人,项目执行/协调人员,07-23发布
普工/生产工人,深圳宏安通信科技有限公司,深圳-宝安区,4.5-6千/月,07-23,无工作经验,初中及以下,普工/操作工;其他;生产线作业员;普工;生产线工人,招3人
课程顾问（沌口）,锦绣长江教育集团-新动态国际英语,武汉-汉阳区,0.4-2万/月,07-23,1年经验,大专,会籍顾问;培训/课程顾问,招2人
会计,杭州创得财务咨询有限公司,杭州-下城区,5-8.5千/月,07-23,3-4年经验,招2人,会计,07-23发布
Kitting仓主管,江西富荣电子科技有限公司,上饶,6-8千/月,07-23,3-4年经验,高中,生产主管;主管;仓库主管;Kitting主管,招1人
17222U-反欺诈调查岗,平安普惠投资咨询有限公司上海第一分公司,上海-浦东新区,6-8千/月,07-23,无工作经验,大专,信审核查,招12人
挑战高薪销售+带薪培训,湖南千思艺筑家居有限公司,长沙,0.8-1万/月,07-23,无工作经验,招10人,大客户销售;销售助理;销售;客户代表;室内设计,07-23发布
上海农商行总行计划财务部数据质量管理岗,SHCP直通车项目组1,上海,20-30万/年,07-23,5-7年经验,本科,其他;数据质量,招若干人
金融销售经理,中国人寿保险股份有限公司杭州市分公司,杭州-江干区,1-1.5万/月,07-23,无工作经验,本科,销售代表;销售经理;金融;销售;保险;经理;管理层;央企;国企,招若干人
电话销售,深圳市佰诚信息咨询有限公司,深圳-龙岗区,6-8千/月,07-23,无工作经验,招10人,信贷管理;金融产品销售,07-23发布
课程顾问,无锡施特捷宜电子商务有限公司,徐州,3.5-8千/月,07-23,无工作经验,招10人,培训/课程顾问;专业顾问;顾问销售教育,07-23发布
技术专员,广州山水怡人园林生态有限公司,广州-海珠区,6-8千/月,07-23,2年经验,本科,园艺/园林/景观设计;建筑工程管理/项目经理,招1人
面点师,义乌宋庆龄幼儿园,义乌,4.5-8千/月,07-23,3-4年经验,高中,面点师;西点师;面点师;西点师;面点,招1人
外呼专员（不带销售性质+双休+五险一金）,湖南新东方前途出国咨询有限公司,长沙-开福区,4-6千/月,07-23,无工作经验,大专,咨询热线/呼叫中心服务人员;客服专员/助理;外呼;客服,招3人
IT 业务分析专员 IT Business Analyst,盛世长城国际广告有限公司,广州-天河区,5-7千/月,07-23,无工作经验,大专,项目执行/协调人员,招若干人
销售-南京（姜苏杰博实）,福建升腾资讯有限公司,南京-栖霞区,0.5-1万/月,07-23,2年经验,大专,销售代表;销售;五险一金,招3人
收银员,无锡和美妇产医院有限公司,无锡,3-4.5千/月,07-23,1年经验,大专,其他;收银员;医院收银员,招3人
丰汇时代大厦招聘保洁,汇欣时代（北京）清洁服务有限公司,北京-西城区,1.5-2千/月,07-23,无工作经验,招3人,保洁,07-23发布
行政人事主管,海伦堡地产集团-华东区域公司,无锡-梁溪区,0.8-1万/月,07-23,无工作经验,招若干人,人事主管;行政经理/主管/办公室主任,07-23发布
AI售前项目经理,中冶赛迪重庆信息技术有限公司,重庆,1-1.5万/月,07-23,5-7年经验,本科,客户经理/主管,招1人
销售顾问（双休）,百利来嘉合企业管理（北京）有限公司,北京-朝阳区,0.6-1.5万/月,07-23,无工作经验,大专,销售代表;大客户销售;销售代表;电话销售;业务员;顾问;销售顾问;助理;销售助理;行政助理;咨询,招2人
办公室值班员,广州市东诚安防科技有限公司,广州-白云区,2-3千/月,07-23,无工作经验,招1人,后勤;其他;办公室;值班员;文员,07-23发布
急聘销售精英（包吃住+月薪8k）,广州渠道汇通信息科技有限公司,广州-白云区,0.8-1万/月,07-23,无工作经验,招5人,销售代表;电话销售;业务员;销售代表;营销;售前支持;商务渠道;电话销售;销售顾问,07-23发布
调度员,吴江瑞达货运有限公司,苏州-吴江区,6-7千/月,07-23,3-4年经验,大专,调度员;调度、物流,招2人
机械结构设计工程师,上海东古航空科技有限公司,上海-浦东新区,0.5-1.5万/月,07-23,1年经验,大专,结构工程师;机械工程师;机械结构设计;机械加工;焊接;机械装配,招2人
销售专员-DELL商用产品-上海,北京方正世纪信息系统有限公司,上海,1-1.5万/月,07-23,无工作经验,本科,渠道/分销专员;销售;DELL;戴尔;渠道分销,招1人
运营管培生 (MJ000253),食亨（上海）科技服务有限公司,上海-虹口区,0.6-1万/月,07-23,无工作经验,本科,电子商务专员;网站运营专员,招若干人
文案策划,南京东郊科技集团,南京-栖霞区,5-6千/月,07-23,无工作经验,招1人,文案/策划;文案策划;党建,07-23发布
文和-方案设计师,湖南文和友文化产业发展集团有限公司,长沙-天心区,6-8千/月,07-23,1年经验,本科,室内设计;门店设计;工装设计;餐饮设计,招1人
大量招长短期普工包吃住,广东铧泰网络科技有限公司,深圳-龙华新区,5-7千/月,07-23,无工作经验,初中及以下,普工/操作工;技工;正式工;小时工;包吃住;高额补贴,招若干人
生产部助理,广州开信通讯系统有限公司,广州-黄埔区,3-4.5千/月,07-23,无工作经验,招1人,生产文员,07-23发布
高级招商经理,成都市海伦堡商业管理有限公司,成都,15-20万/年,07-23,5-7年经验,大专,物业招商/租赁/租售;品牌/连锁招商管理;招商;销售;高级经理,招1人
游戏测试工程师,成都荣讯达电子科技有限公司,成都-成华区,4.5-6千/月,07-23,无工作经验,大专,软件测试;游戏;测试,招若干人
销售代表（双休）,广州京胜知识产权服务有限公司,广州-黄埔区,0.4-1.2万/月,07-23,无工作经验,大专,销售代表;电话销售;销售,招若干人
SEM专员,广州掌昆网络科技有限公司,广州-海珠区,0.7-1.4万/月,07-23,1年经验,大专,SEO/SEM,招2人
平面设计主管,上海嘉荣建设工程有限公司,上海,0.8-1万/月,07-23,2年经验,大专,平面设计经理/主管,招1人
maya动画师,北京时空立方数字科技有限公司,苏州,1-1.5万/月,07-23,1年经验,大专,动画/3D设计,招若干人
生产文员,义乌市锐超相框有限公司,义乌,4.5-6千/月,07-23,无工作经验,大专,生产文员;电脑操作员/打字员,招2人
销售助理（半文职双休不加班）,武汉图南文化传播有限公司,武汉-洪山区,2.7-4千/月,07-23,无工作经验,大专,销售行政专员;广告客户主管/专员,招5人
淘宝摄影师,浙江古拉拉网络科技股份有限公司,杭州-萧山区,0.8-1万/月,07-23,2年经验,大专,摄影师/摄像师;摄影，美妆,招1人
销售顾问,汕尾广弗汽车销售服务有限公司,汕尾,0.3-1.5万/月,07-23,1年经验,招10人,销售代表;客户代表;销售代表,07-23发布
产品运营,深圳市联众互动科技有限公司,深圳-南山区,0.8-1.5万/月,07-23,3-4年经验,大专,产品专员;网站运营专员;产品;运营;产品运营;H5;小程序,招1人
产品认证工程师/技术员,广州创达咨询服务有限公司,广州-海珠区,5-7千/月,07-23,1年经验,大专,电子工程师/技术员;咨询员;工程师，样机,招1人
插画师,江苏爸爸糖餐饮管理有限公司,无锡-梁溪区,4-6千/月,07-23,2年经验,大专,平面设计师;插画;剪辑,招1人
国企高薪保安,中邦人力资源（广州）有限公司,深圳-龙华新区,4.5-6千/月,07-23,无工作经验,初中及以下,保安人员,招若干人
客服（深大总医院）,中航物业管理有限公司中心区分公司,深圳-南山区,4-4.2千/月,07-23,无工作经验,大专,其他,招2人
