职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
教学教务,上海臻学企业管理有限公司,上海-普陀区,8-9.5千/月,07-23,2年经验,大专,院校教务管理人员;教学教务,招1人
美工设计,武汉惠客源酒店管理有限公司,武汉-硚口区,4.5-6千/月,07-23,2年经验,大专,其他,招2人
Sr. Medical Science Liaison,勃林格殷格翰（中国）投资有限公司,广州,,07-23,2年经验,硕士,医药学术推广,招若干人
施工员,北京华汇电力安装工程有限公司,北京,4.5-6千/月,07-23,2年经验,招10人,建筑安装施工员,07-23发布
数据挖掘工程师,深圳百果园实业发展有限公司,深圳-南山区,1.8-3万/月,07-23,无工作经验,本科,其他,招若干人
设备维护工程师,京科维创技术服务（北京）有限公司,北京-门头沟区,4.5-6千/月,07-23,2年经验,大专,电子/电器维修工程师/技师;医疗器械维修人员;工程师;维护经理;设备维修;制冷专业;仪器仪表;电子机械,招5人
开发报建主管,合生创展集团广东东部区域公司,惠州,0.8-1万/月,07-23,无工作经验,大专,开发报建,招1人
副总经理,四川朗威投资管理有限责任公司,成都-青羊区,3-5万/月,07-23,5-7年经验,硕士,副总经理/副总裁;投资银行业务;副总经理,招1人
售后储备经理（高薪+免费培训）,中国人寿保险股份有限公司广州市分公司,广州-越秀区,1-1.5万/月,07-23,1年经验,大专,客户代表;客服经理;售后经理;储备经理;培育主管;售后服务,招4人
应收会计,广州嘉事怡核医疗科技有限公司,广州,0.6-1.2万/月,07-23,2年经验,招1人,资金专员;应收,07-23发布
设备负责人（安全主任）,深圳车仆汽车用品发展有限公司,南昌,6-8千/月,07-23,3-4年经验,大专,设备主管;安全员;设备管理;安全主任,招1人
平面设计师,四川筑尚城建设工程有限公司,成都,3-8千/月,07-23,3-4年经验,大专,平面设计师;网页设计/制作/美工,招2人
经销高级主管(J10785),广州市斯凯奇商业有限公司,广州-天河区,6-8千/月,07-23,无工作经验,招1人,营运主管,07-23发布
行政助理,新华人寿保险股份有限公司长沙中心支公司,长沙-芙蓉区,3-5千/月,07-23,1年经验,大专,行政专员/助理;经理助理/秘书;总监助理,招2人
单证实习生,嘉里大通物流有限公司宁波分公司,,,07-23,,,,
EB交行信用卡销售客户经理,交通银行股份有限公司太平洋信用卡中心,苏州-姑苏区,0.8-1.5万/月,07-23,无工作经验,大专,销售经理;销售代表;信用卡;销售;交通银行;零售;销售代表;客户经理;销售经理;市场;金融,招3人
Operations Clerk / 海运出口单证,联邦快递国际货运代理服务（上海）有限公司深圳分公司,深圳-罗湖区,4-6千/月,07-23,1年经验,大专,单证员;货运代理,招若干人
IT SRE Manager,百胜咨询（上海）有限公司,上海,2.5-3万/月,07-23,10年以上经验,本科,高级软件工程师;系统工程师,招1人
电气工程师,三菱电机（广州）压缩机有限公司,广州,6-8万/年,07-23,无工作经验,本科,技术研发工程师;空调/热能工程师;电气;空调;制冷;技术;开发;研发;电机;结构;设计,招2人
行政专员（工作地点：珠海）,TTI创科集团—东莞创机电业制品有限公司,珠海-高栏港经济区,,07-23,2年经验,大专,行政专员/助理,招1人
