,职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
4110,商务助理/销售助理 /业务助理,深圳市联合应用科技有限公司,深圳-龙华新区,6-7千/月,07-23,5-7年经验,大专,助理业务跟单;商务助理;商务专员;助理;跟单,招1人
4111,仓库管理员,深圳市勒基恩科技有限公司,深圳-宝安区,5-6千/月,07-23,1年经验,,仓库管理员;仓管管理员;仓库文员;仓库理货员;仓库助理;仓管,招1人
4112,底薪4200急聘催收专员销售代表双休包住,安徽骏颂电子商务有限公司,合肥-滨湖新区,6-8千/月,07-23,无工作经验,,销售代表;风险控制;电话销售;催收专员;销售外包;客服专员,招30人
4113,软件开发工程师,深圳市圣格灵科技有限公司,深圳-龙岗区,1.2-1.5万/月,07-23,2年经验,本科,软件工程师;Golang;C#;Java,招若干人
4114,网络家装顾问,昆明艺顶装饰工程有限公司,昆明-官渡区,4.5-6千/月,07-23,无工作经验,,网络/在线销售,招3人
4115,实习生,统一翻译（上海）有限公司,上海,3-4.5千/月,07-23,无工作经验,大专,实习生;兼职;实习;***,招若干人
4116,数字营销专员（电话营销）,成都启阳远航汽车销售服务有限公司,成都-新都区,0.4-1万/月,07-23,1年经验,大专,电话销售,招若干人
4117,杨梅红中心校长（宜兴）,无锡市阿拉丁艺术培训有限公司,无锡-梁溪区,1-1.5万/月,07-23,3-4年经验,大专,校长,招1人
4118,应付会计,深圳雪莲花网络有限公司,深圳-福田区,6-8千/月,07-23,1年经验,大专,会计;应付会计;会计,招1人
4119,国企客服+五险一金+月薪5000,广州市杰氏高信息科技有限公司,肇庆,4-7千/月,07-23,无工作经验,,网络/在线销售;客服,招50人
4120,业务主管,广西怡之鑫科技有限公司,南宁,6-8千/月,07-23,无工作经验,,业务拓展主管/经理;直销销售;渠道销售;业务;市场营销;主管;销售;客服;市场拓展,招6人
4121,采购,深圳市荣泰电子有限公司,深圳-宝安区,4.5-6千/月,07-23,2年经验,大专,采购员;采购经理;采购助理;采购员;采购,招2人
4122,人事专员,湖北千思智造家装饰贸易有限责任公司,武汉-东西湖区,3-4.5千/月,07-23,无工作经验,大专,人事专员;招聘专员/助理;人事专员;人力资源管理;招聘专员;HR,招3人
4123,销售实习生4000底薪+就近安排+师傅带教+租房优惠,重庆链家房地产经纪有限公司,重庆-江北区,6-8千/月,07-23,无工作经验,大专,销售代表;实习生;销售;实习生;销售代表;销售顾问;置业顾问;储备干部;就近;电话销售,招2人
4124,亚马逊运营专员 双休,深圳市腾逊展翼科技有限公司,深圳-龙岗区,4.5-6千/月,07-23,无工作经验,本科,贸易/外贸专员/助理;亚马逊;外贸销售;外贸专员,招若干人
4125,***,深圳金禾餐饮有限公司,深圳-龙华新区,20元/小时,07-23,无工作经验,,销售代表,招4人
4126,急急高薪诚聘汽车销售主管,陕西汇车通汽车服务有限公司,西安,4.5-6千/月,07-23,无工作经验,高中,销售主管;团购业务员;销售;销售代表;销售主管;销售经理;业务经理;客户代表;客户经理,招5人
4127,月入过万诚聘销售精英（提供客源）,徐州盛凡网络科技有限公司,徐州,1-1.5万/月,07-23,无工作经验,大专,销售代表;销售工程师;网络销售;在线咨询,招8人
4128,课程顾问（6K-10K地铁口上盖）,广州全是赢家教育咨询有限公司,广州-白云区,0.8-1万/月,07-23,1年经验,中专,销售代表;电话销售;电话销售;课程规划师;课程顾问;地推销售;班主任;直销销售;面销;在线销售,招2人
4129,Android应用开发工程师-OTT,深圳市汇星数字技术有限公司,深圳-南山区,0.8-1.1万/月,07-23,无工作经验,大专,手机应用开发工程师;Android;launcher;OTT;机顶盒,招1人
4130,网络推广专员,杭州米果资产管理有限公司,杭州-江干区,6-8千/月,07-23,2年经验,大专,网络推广专员;网络推广;房屋租赁,招1人
4131,空运文件操作,北京康捷空国际货运代理有限公司中山分公司,中山,4.5-6千/月,07-23,无工作经验,大专,货运代理;单证员;外企;空运操作;带薪年假;夜班津贴,招若干人
4132,DBA运维,杭州灿越网络科技股份有限公司,杭州-余杭区,1-1.5万/月,07-23,无工作经验,,数据库工程师/管理员,招1人
4133,测试工程师,广州市小犬吠吠健康科技有限公司,广州-海珠区,5-8千/月,07-23,2年经验,大专,测试员,招1人
4134,电视购物经理,爱华尚文化（深圳）股份有限公司,深圳-龙华新区,1.5-2万/月,07-23,无工作经验,大专,渠道/分销总监;市场/营销/拓展总监;电视购物;销售;业务;电视购物销售;渠道销售;电购;珠宝销售;琥珀;蜜蜡,招2人
4135,6K+奖金+包食宿销售助理,杭州生普卓越科技有限公司,杭州-西湖区,6-8千/月,07-23,无工作经验,中专,销售行政助理,招5人
4136,输配水分公司副经理,陕西省引汉济渭工程建设有限公司,西安,,07-23,10年以上经验,本科,建筑工程管理/项目经理,招1人
4137,急聘 销售储备干部/底薪7000-8000+带薪培训,上海丽兹行-SH08,上海,1-1.5万/月,07-23,无工作经验,本科,房地产销售;房地产客服;房产顾问;销售经理;销售助理;电话销售;销售顾问;客户代表;渠道销售;汽车销售;置业顾问;物业管理员,招8人
4138,客服文员（双休+五险）,广州天玛云秀影视传媒有限公司,广州-白云区,6-8千/月,07-23,无工作经验,高中,客服专员/助理;客服专员;客服助理;微信客服;网络客服,招10人
4139,双休+五险诚聘银行客服经理,云南彼融经济信息咨询有限公司,昆明-盘龙区,6-8千/月,07-23,无工作经验,高中,高级客户经理/客户经理;呼叫中心客服,招10人
4140,进出口助理,苏州法斯特企业管理咨询有限公司,苏州-高新区,4.5-5千/月,07-23,1年经验,大专,物流专员/助理;进出口;物流;报关,招1人
4141,淘宝客服4k请仔细斟酌,成都奥菲丽亚鞋业有限公司,成都-武侯区,3.7-4.7千/月,07-23,无工作经验,中专,网店/淘宝客服;打字;客服;发货;打单;在线客服;网店客服;网上销售;淘宝客服,招1人
4142,电话销售+7k,朗恩儿童美语,上海-徐汇区,0.8-1万/月,07-23,无工作经验,,销售代表;咨询员;课程顾问;销售;教育;培训;儿童;美语;英语,招4人
4143,市场总监,深圳市智载科技有限责任公司,深圳-南山区,1.5-2万/月,07-23,3-4年经验,本科,网络推广经理/主管,招若干人
4144,网络管理员,湖南镭目科技有限公司,长沙,4.5-6千/月,07-23,3-4年经验,大专,网络管理(Helpdesk),招1人
4145,微信运营专员/新媒体运营,广州市蓝越网络科技有限公司,广州-海珠区,4-6千/月,07-23,无工作经验,大专,新媒体运营;网络推广专员;新媒体运营;自媒体运营;公众号运营;互联网营销;运营;推广;营销;微信,招2人
4146,销售专员（8K高薪+住宿）,成都微讯加科技有限公司,成都-成华区,3-4.5千/月,07-23,无工作经验,大专,大客户管理;实习生;销售专员;销售助理;市场推广;直销,招9人
4147,知识产权专员（高薪+五险+双休）,西安集萃知识产权代理有限公司,西安,6-8千/月,07-23,无工作经验,,销售代表;客户代表;知识产权;销售;商务代表,招4人
4148,Linux系统工程师,上海耶购电子商务有限公司,上海-普陀区,1.5-2万/月,07-23,3-4年经验,大专,系统工程师;技术支持/维护工程师;运维;Linux;数据库;项目上线,招若干人
4149,应用研发工程师,植萃优品（天津）生物科技有限公司,天津-西青区,6-8千/月,07-23,无工作经验,硕士,化妆品研发;化工技术应用/化工工程师,招2人
4150,HR Business Partner,金雅拓（北京）智能卡科技有限公司,北京,2.5-3.5万/月,07-23,5-7年经验,本科,HRBP,招1人
4151,外贸业务员,深圳市宝泉实业有限公司长沙分公司,长沙-岳麓区,3-4.5千/月,07-23,1年经验,大专,贸易/外贸专员/助理;外贸业务员,招5人
4152,销售代表/货代销售（无责任底薪+高提成）,广州易站跨境电商有限公司,广州-白云区,0.3-1万/月,07-23,无工作经验,大专,货运代理;物流专员/助理;货代业务员;国际货代业务;货代销售;货代业务,招若干人
4153,运营主管/经理,广西象州研滔环保科技有限公司,来宾,6-8千/月,07-23,3-4年经验,本科,其他;运营主管;运营经理,招1人
4154,精装修工程师,凯恩斯国际置业（武汉）有限公司,武汉-江汉区,0.8-1万/月,07-23,3-4年经验,大专,室内设计;房产项目配套工程师,招1人
4155,海运出口单证,沛华运通国际物流（中国）有限公司,上海,5.5-6.5千/月,07-23,无工作经验,大专,单证员;货运代理;海运单证;货运代理;周末双休;带薪年假;全勤奖;加班补助,招若干人
4156,电子商务分销经理/总监,广州英旗生物科技有限公司,广州-白云区,0.8-1.5万/月,07-23,2年经验,,销售经理;业务拓展主管/经理,招1人
4157,合规专员,上海寻汇信息科技有限公司,上海,0.8-1万/月,07-23,1年经验,本科,合规主管/专员;合规专员,招2人
4158,前台兼商务助理,广州智销宝科技有限公司,广州-荔湾区,3-4.5千/月,07-23,无工作经验,大专,商务助理;销售行政专员;行政;会务;运营,招1人
4159,连接器电商销售经理,东莞市工高电子科技有限公司,东莞-南城区,0.8-1万/月,07-23,2年经验,大专,电子商务经理/主管;产品经理/主管;电销;销售;经理,招1人
4160,.NET开发工程师,深圳市咨微信息科技有限公司,深圳-宝安区,0.8-1.5万/月,07-23,2年经验,大专,软件工程师;高级软件工程师;.NET;开发工程师,招3人
4161,人事专员,武汉启恒智文化传播有限公司,武汉-东湖新技术产业开发区,6-8千/月,07-23,无工作经验,大专,招聘专员/助理;人事专员;人力资源专员,招10人
