,职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
0,市场排片（衢州）,浙江神画影业有限公司,衢州,6-8千/月,07-23,1年经验,大专,其他,招2人
1,机械手软件开发工程师,成都卡诺普自动化控制技术有限公司,成都-成华区,0.8-1万/月,07-23,2年经验,大专,高级软件工程师;软件工程师;C++语言;QT,招1人
2,跟单员,广州智动识别系统有限公司,广州-天河区,4.5-6千/月,07-23,1年经验,高中,电话销售;电话销售,招1人
3,海空运操作员,信宏国际货运代理（上海）有限公司,上海-虹口区,6-8千/月,07-23,1年经验,大专,船务/空运陆运操作;海空运进出口,招1人
4,教务主任,广州SIXTY学院,广州-白云区,4.5-6千/月,07-23,1年经验,,院校教务管理人员;后勤;教务;教务主任;教务管理;班主任;辅导员;后勤人员,招2人
5,IE工程师,上海茂腾针织有限公司,盐城,6-8千/月,07-23,3-4年经验,大专,产品工艺/制程工程师,招2人
6,资深幕墙设计师,华新（南京）置业开发有限公司,南京-建邺区,1-1.5万/月,07-23,5-7年经验,大专,幕墙工程师;幕墙;施工管理;常驻项目工地,招1人
7,市场专员,广州市龙星行汽车销售服务有限公司,广州-海珠区,4-6千/月,07-23,1年经验,大专,市场企划专员;市场助理;市场;市场专员;策划;奔驰;国企;汽车;4S店,招1人
8,采购,乐歌人体工学科技股份有限公司,宁波,5-7千/月,07-23,3-4年经验,大专,采购员,招2人
9,带薪培训 不限经验  速卖通运营 亚马逊运营,深圳市宝视佳科技有限公司,深圳-龙华新区,4.5-9千/月,07-23,无工作经验,大专,贸易/外贸专员/助理;电子商务专员;销售;业务;外贸;电子商务;网络销售;互联网;外贸业务;国际贸易;外贸销售,招若干人
10,质量体系协调员QMS Coordinator,泰西塑料（上海）有限公司,上海,6-8千/月,07-23,3-4年经验,大专,审核员;体系工程师,招1人
11,疫苗研发工程师,苏州宇之波生物科技有限公司,苏州-工业园区,6-9.9千/月,07-23,无工作经验,本科,生物工程/生物制药;医药技术研发人员;生物医药;分子生物学;生物化学;免疫学;疫苗;抗体;病毒;兽用生物制品,招4人
12,销售总监（OA/协同/办公软件方向）,北京小裙科技有限公司,北京-昌平区,1-1.5万/月,07-23,2年经验,大专,销售代表;渠道销售;直销销售;电话销售,招1人
13,接待,沈阳亿启来旅游发展有限公司,沈阳,2-3千/月,07-23,无工作经验,,前台接待/总机/接待生,招2人
14,品质经理,深圳市格瑞普电池有限公司,深圳-龙华新区,1-1.5万/月,07-23,5-7年经验,大专,品质经理;品质、质检,招1人
15,嵌入式硬件工程师—(IMAX6平台),上海思必诚信息科技发展有限公司,上海,1.5-2万/月,07-23,5-7年经验,本科,嵌入式硬件开发(主板机…);硬件;硬件开发;硬件工程师;嵌入式硬件,招1人
16,网络/在线咨询师（工程大学流芳校区）,武汉慧谷教育管理咨询有限公司,武汉-江夏区,5-8千/月,07-23,无工作经验,大专,咨询员,招5人
17,售前工程师（华三）,北京中青旅创格科技有限公司,兰州,4.5-5.5千/月,07-23,1年经验,大专,售前/售后技术支持经理;售前/售后技术支持工程师;售前技术支持;售后技术支持;售前工程师;售后工程师;销售主管,招1人
18,体育老师（花都校区）,广东华文航空艺术职业学校,广州-花都区,4.5-6千/月,07-23,1年经验,大专,体育教师;职业技术教师;体育;教师;老师,招2人
19,客户经理,长江证券股份有限公司上海卫清东路证券营业部,上海-金山区,0.6-1万/月,07-23,无工作经验,本科,投资/理财顾问,招2人
20,水电工,广州新机场穗和集团有限公司,广州-白云区,4-4.5千/月,07-23,2年经验,高中,物业维修员,招若干人
21,淘宝客服,武汉安穗服饰有限公司,武汉-江汉区,3.5-5千/月,07-23,1年经验,初中及以下,网店/淘宝客服;售前客服,招4人
22,资产渠道管理岗(苏州)(005718),中信银行信用卡中心苏州分中心,呼和浩特,6-8千/月,07-23,2年经验,本科,风险控制,招2人
23,主办会计（电商）,浙江枫飞源广告有限公司,杭州-余杭区,6-8千/月,07-23,1年经验,大专,会计;会计经理/会计主管;电商财务,招1人
24,材料员,江苏永利装饰工程有限公司,武汉-洪山区,4.5-6千/月,07-23,5-7年经验,大专,其他,招1人
25,商谈经理,成都鼎尊餐饮管理有限责任公司,成都-武侯区,4.5-6千/月,07-23,3-4年经验,大专,商务经理,招若干人
26,总账会计（成本会计）,深圳市量品电子科技有限公司,深圳-龙华新区,4.5-8千/月,07-23,3-4年经验,大专,会计;会计、财务,招2人
27,蛋糕制作学徒,佛山市幸福蛋糕食品有限公司,佛山,2-2.5千/月,07-23,无工作经验,,厨师助理/学徒,招3人
28,化妆品原料销售（周末双休，五险一金，年底双薪）,广州祈缘生物科技有限公司,广州-花都区,0.4-1万/月,07-23,无工作经验,大专,销售代表;销售经理;原料销售;业务员;销售代表;销售人员,招3人
29,物理老师,广州新导航教育咨询有限公司,广州-增城,6-8千/月,07-23,无工作经验,本科,中学教师;兼职教师;物理老师;物理教师;初中物理;全职;高中物理,招2人
30,销售主管,银雁科技服务集团股份有限公司,重庆-南岸区,0.6-1万/月,07-23,2年经验,大专,销售主管;电话销售,招1人
31,天猫淘宝直播主播,上海宝淘汽车用品有限公司,上海-浦东新区,0.5-1万/月,07-23,无工作经验,初中及以下,主播/主持人;淘宝主播;直播,招1人
32,高级招聘专员,安徽紫薇帝星数字科技有限公司,合肥-高新区,4-7千/月,07-23,3-4年经验,大专,招聘专员/助理,招2人
33,媒介专员（双休）,广东叁六网络科技有限公司,广州-越秀区,5-7.5千/月,07-23,无工作经验,大专,SEO/SEM;SEN专员;运营专员;媒介客服,招1人
34,公寓店长,魔方公寓,珠海,0.6-1万/月,07-23,无工作经验,,酒店/宾馆经理,招3人
35,行政前台,重庆义发成功建材集团有限公司,重庆-九龙坡区,3-4千/月,07-23,3-4年经验,大专,行政专员/助理,招1人
36,检验员,捷考奥电子（上海）有限公司,上海-闵行区,3-4.5千/月,07-23,1年经验,高中,质量检验员/测试员;采购材料、设备质量管理,招1人
37,高薪招聘车库机械车位操作员,上海捷勋办公设备有限公司,上海-浦东新区,5.7-6.6千/月,07-23,无工作经验,初中及以下,停车管理员,招5人
38,客服文员,广州卓奥信息科技有限公司,广州-天河区,6-8千/月,07-23,1年经验,,客服专员/助理,招2人
39,助理,上海群安电子有限公司,绍兴,4.5-6千/月,07-23,无工作经验,大专,经理助理/秘书;技术支持/维护工程师;技术;行政;助理;生产跟进,招2人
40,自动化工程师,上海智皓电子科技有限公司,武汉-洪山区,0.5-1.2万/月,07-23,2年经验,大专,自动控制工程师/技术员;工程/设备工程师,招2人
41,IE工程师,泰州市创新电子有限公司,泰州,3.5-6千/月,07-23,无工作经验,大专,工业工程师;工程师;工业工程,招1人
42,行政人事经理,广州南田互联网科技有限公司,广州-番禺区,0.8-1.2万/月,07-23,5-7年经验,本科,人事经理;行政经理/主管/办公室主任;人事行政战略;公司管理;人力资源管理;企业文化建设,招1人
43,平面设计助理,广州市鸿天广告装饰有限公司,广州-白云区,3-4.5千/月,07-23,无工作经验,,展览/展示/店面设计;其他;平面设计助理,招若干人
44,法西日韩德语实习生（实习岗位）,北京公元创译翻译有限公司,北京-朝阳区,110元/天,07-23,无工作经验,,其他语种翻译,招1人
45,安全工程师,江门耀皮工程玻璃有限公司,江门,4.5-8千/月,07-23,1年经验,本科,环境/健康/安全经理/主管（EHS）;安全员;EHS;安全;安保;环保,招1人
46,Java中高级开发工程师,山东天地通数码科技有限公司,济南-高新区,0.8-1万/月,07-23,3-4年经验,大专,高级软件工程师;软件工程师;JAVA开发,招4人
47,客服专员,云杉智慧新能源技术有限公司,广州-白云区,4.5-6千/月,07-23,无工作经验,,客服专员/助理,招5人
48,人事实习生,保利（苏州）置业有限公司,苏州,2-3千/月,07-23,无工作经验,本科,实习生;人事;实习生,招1人
49,销售代表+五险一金福利好,广州汇利电子科技有限公司,广州-天河区,6-8千/月,07-23,1年经验,初中及以下,其他;其他,招20人
50,巡检,雅迪科技集团有限公司,无锡-锡山区,4-6千/月,07-23,2年经验,大专,质量检验员/测试员;巡检;质检,招1人
51,工程核价员,上海荣泰健康科技股份有限公司,上海-青浦区,4.5-6千/月,07-23,1年经验,中专,合同管理;预结算员;工程核价;工程预算;采购核价,招1人
52,SEM专员(J10952),欧派家居集团股份有限公司,广州,6-8千/月,07-23,无工作经验,,SEO/SEM,招1人
53,置换审核专员,优信集团,上海-浦东新区,4-5千/月,07-23,1年经验,中技,图书管理员/资料管理员,招1人
54,行政数据专员,西安讯捷通讯有限公司,西安-新城区,3-4.5千/月,07-23,1年经验,大专,业务分析专员/助理,招2人
55,销售助理-北京（信托行业营销中心）,恒生电子股份有限公司,北京,0.6-1万/月,07-23,,,,
56,全栈工程师,益德穿梭科技（大连）有限公司,大连-高新园区,0.8-1.2万/月,07-23,3-4年经验,大专,软件工程师;HTML5;bootstrap,招1人
57,风控综合岗-官渡区,花生好车-云南省,昆明-官渡区,4.5-6千/月,07-23,2年经验,大专,客服主管;风险控制,招1人
58,销售经理（信阳市息县）,今麦郎饮品股份有限公司,信阳,4.5-8千/月,07-23,3-4年经验,高中,销售经理;销售;营销;快消品;销售经理;销售主管;客户主管;客户经理,招1人
59,法务主管,广州发展碧辟油品有限公司,广州,10-15万/年,07-23,5-7年经验,本科,法务主管/专员,招1人
60,技术工程师,上海熊猫机械集团销售有限公司湖南分公司,长沙-雨花区,4-6千/月,07-23,2年经验,本科,技术支持/维护工程师;技术,招1人
61,健身销售顾问（六元素）,广州市古德菲力体育有限公司,广州-海珠区,6-8千/月,07-23,无工作经验,高中,销售代表;销售助理;销售;助理;主管;电话销售;销售代表;销售经理;销售主任;客户主任,招若干人
62,EHS工程师,香飘飘食品股份有限公司,江门,6-8千/月,07-23,3-4年经验,大专,环境/健康/安全工程师（EHS）,招1人
63,客户专员（驻点医院）,康美药业股份有限公司广州分公司,重庆-渝中区,3.5-4千/月,07-23,无工作经验,大专,医院管理人员,招1人
64,机械设计工程师（工装设计方向）,广州数控设备有限公司,广州,0.9-1.2万/月,07-23,10年以上经验,本科,机械工程师;夹具工程师/技师;检验工装;工装夹具设计,招1人
65,机械 / 制造 / 工程，储备人才（GCK）欢迎应届生加入,捷安特（昆山）有限公司,昆山,4.5-6千/月,07-23,1年经验,大专,机械工程师;工业工程师,招若干人
66,汽车广告大客户经理（上市公司+五险一金）,瑞庭网络技术（上海）有限公司广州分公司,广州-天河区,0.7-1.5万/月,07-23,2年经验,大专,大客户销售;广告客户经理;汽车广告;广告项目;广告洽谈,招1人
67,边琳丽测试,九阳股份有限公司,杭州-江干区,4-6千/月,07-23,2年经验,本科,行政专员/助理,招1人
68,前端开发工程师,青岛伊美尔国宾整形外科医院有限公司,青岛-市北区,6-8千/月,07-23,3-4年经验,大专,Web前端开发,招1人
69,土建工程师,西安复地房地产开发有限公司,西安-经济技术开发区,0.8-1万/月,07-23,无工作经验,,房产项目配套工程师,招1人
70,销售经理,长沙复地房地产开发有限公司,长沙,20-30万/年,07-23,5-7年经验,本科,房地产销售经理/主管,招1人
71,注册安全工程师,深圳华侨城欢乐谷旅游公司,深圳,0.6-1.5万/月,07-23,3-4年经验,大专,环境/健康/安全工程师（EHS）;安全工程师,招1人
72,17222P-行政室主任,平安普惠企业管理有限公司重庆分公司,重庆-江北区,15-20万/年,07-23,3-4年经验,本科,行政经理/主管/办公室主任,招1人
73,工程师 (MJ000640),神州数码信息服务股份有限公司,广州-天河区,1-1.5万/月,07-23,5-7年经验,本科,高级软件工程师;c;linux;oracle,招1人
74,财务总监（外派北京被投企业）,上海复星高科技（集团）有限公司,北京-丰台区,30-90万/年,07-23,10年以上经验,本科,财务总监,招1人
75,IT工程师(J12093),瑞庭网络技术（上海）有限公司-安居客,上海-浦东新区,1-1.5万/月,07-23,3-4年经验,本科,技术支持/维护工程师;网络管理(Helpdesk);IT;技术支持,招1人
76,Sem优化师(J11880),瑞庭网络技术（上海）有限公司三亚分公司-安居客,上海-浦东新区,1-1.5万/月,07-23,2年经验,本科,SEO/SEM,招2人
77,硬件运维工程师(抚州),博雅生物制药集团股份有限公司,抚州,3-4.5千/月,07-23,1年经验,大专,技术支持/维护工程师;硬件运维,招1人
78,内容运营,天津伊美尔医疗整形美容专科医院有限公司,天津,5-7千/月,07-23,无工作经验,,市场/营销/拓展主管;网络推广,招1人
79,医药代表（信立坦）,深圳信立泰药业股份有限公司,重庆,6-8千/月,07-23,2年经验,大专,医药代表,招1人
80,班主任/助教,传智播客教育集团武汉分校,武汉-黄陂区,4-8千/月,07-23,1年经验,大专,培训督导;带薪年假;奖金丰厚;交通补助;话补;节日福利;体育健身活动,招2人
81,小连锁产品信息联络专员（梅州）,西藏奇正藏药股份有限公司,梅州,0.6-1万/月,07-23,1年经验,大专,销售代表;医药代表;医院代表;销售代表,招1人
82,出纳员,宝龙地产项目,绍兴,4.5-6千/月,07-23,2年经验,本科,出纳员,招1人
83,学术专员,香港澳美制药厂有限公司,宁波,6-8千/月,07-23,1年经验,大专,医药代表,招若干人
84,财务结算员,广汇汽车服务股份公司（华北大区）,济南-市中区,3-4.5千/月,07-23,2年经验,大专,收银员;结算员;收银员,招1人
85,化验员（应城）,武汉回盛生物科技股份有限公司,孝感,4.5-6千/月,07-23,1年经验,本科,质量检验员/测试员;质量管理/验货员(QA/QC),招4人
86,平面设计/设计专员,六福珠宝（上海）有限公司,上海-静安区,3-5千/月,07-23,1年经验,大专,平面设计师;包装设计;平面;平面设计师;平面设计,招1人
87,仓库主任,国药控股国大药房有限公司,上海-嘉定区,1-1.5万/月,07-23,,,,
88,品牌部实习生,深圳前海百递网络有限公司,深圳,80元/天,07-23,无工作经验,本科,实习生,招1人
89,急聘：商务经理,上海永天科技股份有限公司,上海-青浦区,0.5-2万/月,07-23,无工作经验,,商务经理;公关经理,招1人
90,大数据开发工程师,亚信科技（中国）有限公司,成都,1-1.5万/月,07-23,3-4年经验,本科,软件工程师,招1人
91,理财经理（双休、五险一金、国企）,中国银河证券股份有限公司南京南瑞路证券营业部,南京,1-1.5万/月,07-23,无工作经验,本科,投资/理财顾问;证券分析师,招若干人
92,IT综合运维,百丽鞋业（上海）有限公司,宁波-海曙区,4.5-6千/月,07-23,1年经验,大专,技术支持/维护工程师;IT技术支持,招1人
93,生产工艺管理员G01974,四川科伦药业股份有限公司-新都基地,成都-新都区,8-12万/年,07-23,2年经验,本科,药品生产/质量管理,招1人
94,融媒业务运营经理,央视市场研究股份有限公司,北京-西城区,1.5-2万/月,07-23,3-4年经验,本科,市场分析/调研人员,招1人
95,深圳民田路营业部柜员岗-广发证券深圳分公司,广发证券股份有限公司深圳分公司,深圳-福田区,6-8千/月,07-23,1年经验,,其他,招1人
96,幼儿教师(J10433),东方剑桥教育集团,南京-建邺区,3-4.5千/月,07-23,无工作经验,,幼教,招1人
97,城市主管（衡阳县城+郴州县城）,郑州思念食品有限公司,衡阳,6-8千/月,07-23,无工作经验,,销售主管;渠道销售;直销销售,招1人
98,鞋包类产品设计,江苏威克多体育用品有限公司,南京-鼓楼区,5-7千/月,07-23,1年经验,本科,产品/品牌专员;产品设计;鞋包;服装;运动,招1人
99,润滑油销售,途虎养车网,上海,0.6-1.5万/月,07-23,无工作经验,,销售代表,招若干人
100,收银员,广东一号通贸易有限公司,广州-天河区,3.5-4千/月,07-23,1年经验,中专,收银员;手机店收银,招2人
101,销售工程师,华安工程技术有限公司,昆明-盘龙区,0.5-2万/月,07-23,3-4年经验,本科,销售经理;销售主管;商务;营销;市场;客户;项目;开发;维护;业务;销售;渠道,招4人
102,房产经纪人8K包住+旅游培训,武汉伟业我爱我家房地产经纪有限公司,武汉-汉阳区,0.4-2万/月,07-23,无工作经验,高中,房地产中介/置业顾问;客服专员/助理;房产销售;房产中介;销售;置业顾问,招20人
103,商务助理,武汉大康伟业智能系统集成有限公司,武汉-洪山区,3.5-5千/月,07-23,1年经验,中专,商务助理;业务跟单;商务;跟单;助理;行政;接待;咨询,招2人
104,产品经理,广东顺成陶瓷集团有限公司,佛山-禅城区,1.2-1.5万/月,07-23,5-7年经验,大专,其他,招1人
105,行政人事主管,长沙小洋文化传媒有限公司,长沙-芙蓉区,6-8千/月,07-23,5-7年经验,大专,人事主管,招1人
106,电销网销结合+住宿+福利,河南沐贤教育信息咨询有限公司,郑州-管城回族区,0.8-1万/月,07-23,无工作经验,,电话销售;培训/课程顾问;电销;网销;电销网销结合,招15人
107,课程顾问-潍坊韦博8000+,上海徐汇区韦博进修学校,潍坊,0.8-1万/月,07-23,无工作经验,大专,大客户销售;销售代表,招1人
108,销售工程师,苏州工业园区精电电子有限公司,合肥-高新区,4.5-5千/月,07-23,2年经验,大专,销售工程师;销售工程师;销售;业务;销售代表,招2人
109,资深平面设计师,杭州竺子品牌设计有限公司,杭州-江干区,0.8-1万/月,07-23,3-4年经验,大专,平面设计经理/主管;平面设计师;平面设计,招2人
110,外贸业务/海外销售,深圳市在那科技有限公司,深圳-宝安区,6-8千/月,07-23,无工作经验,大专,贸易/外贸专员/助理;销售代表,招1人
111,销售业务员+3k无责底薪+包吃住,长沙勤奋环保科技有限公司,长沙-天心区,0.8-1万/月,07-23,无工作经验,,销售代表;客户代表;销售;业务;包吃住;实习生;业务员;零经验,招10人
112,记账会计,广东航天信息爱信诺科技有限公司东莞分公司,东莞,4-7千/月,07-23,3-4年经验,大专,会计;税务专员/助理;代理记账;出口退税;会计,招2人
113,招聘经理,安徽东箭装饰设计工程有限公司,合肥-蜀山区,4-6千/月,07-23,3-4年经验,大专,招聘经理/主管,招1人
114,销售代表（双休/五险/高薪）,深圳市金伦通信有限公司湖北分公司,武汉-洪山区,0.4-1万/月,07-23,无工作经验,大专,销售代表;客户代表;销售代表;销售专员;销售管理,招3人
115,AP人文地理老师,上海远播教育科技股份有限公司,上海-徐汇区,4-8千/月,07-23,1年经验,本科,兼职教师,招1人
116,咖啡店店长,深圳市瑞丰创新产业园投资管理有限公司,深圳-南山区,6-9千/月,07-23,2年经验,中专,咖啡师;店长/经理;咖啡店长,招1人
117,水电工程师（临港）,上海竹胜园地产,上海-浦东新区,1.5-2万/月,07-23,5-7年经验,本科,建筑机电工程师;房产项目配套工程师,招2人
118,证券顾问（无责底薪5k+做五休二）,上海汇正财经顾问有限公司,上海,1-1.5万/月,07-23,无工作经验,大专,网络/在线销售;股票咨询;做五休二;无责底薪;带薪培训;网络销售,招1人
119,知名日资企业(汽车) 技术营业(日语)(新规开拓),优异精彩（北京）科技有限公司上海分公司,上海-长宁区,1.8-2万/月,07-23,无工作经验,,销售代表;销售工程师,招1人
120,仓库管理员,昆明隆新丰贸易有限公司,昆明,2-3千/月,07-23,1年经验,高中,仓库管理员,招1人
121,安环经理,广东同宇新材料有限公司,肇庆,1.5-2万/月,07-23,无工作经验,大专,环境/健康/安全经理/主管（EHS）;环境/健康/安全工程师（EHS）;安全、环保,招若干人
122,营销策划经理,广州正势传媒有限公司,广州-天河区,0.8-1.5万/月,07-23,3-4年经验,本科,文案/策划;营销策划;策划经理;策划,招1人
123,出纳,广东便捷神科技股份有限公司,佛山-顺德区,3.5-4.5千/月,07-23,无工作经验,大专,出纳员;出纳;会计助理;现金;收据;报销,招1人
124,研究院副院长,中铁轨道交通装备有限公司,南京-建邺区,1-2万/月,07-23,8-9年经验,本科,轨道交通工程师/技术员;技术研发经理/主管,招若干人
125,财务主管,杭州蕴宝网络科技有限公司,杭州-萧山区,0.8-1.5万/月,07-23,3-4年经验,大专,财务主管/总账主管;财务经理;总账财务;税务;成本,招1人
126,物业行政专员,大唐地产长沙城市公司,长沙,3.6-4.5千/月,07-23,无工作经验,,物业管理专员/助理,招1人
127,（青羊区）实习生,中国人寿保险股份有限公司新津县支公司,成都-青羊区,2-4千/月,07-23,无工作经验,大专,其他;实习生;保险;成都;青羊区,招8人
128,95511远程催收内勤+六险二金+住宿,平安普惠投资咨询有限公司上海第一分公司,上海-浦东新区,1-1.5万/月,07-23,无工作经验,大专,销售代表;电话销售;销售;电话销售;客服;在线;催收;逾期账户管理;双休;长白班,招20人
129,后勤采购助理双休,湖北万物生汇科技有限公司,武汉-江夏区,6-8千/月,07-23,无工作经验,大专,采购助理;采购经理;后勤采购助理,招6人
130,链家德佑房地产销售包住,武汉兴万居房屋经纪有限公司,武汉-武昌区,0.6-1万/月,07-23,无工作经验,,储备干部;销售经理;电销;面销;网销;销售;包住;徐东;房地产;实习生;应届生;普工,招5人
131,策划经理（上海）,旗智传播机构（广州）,上海-杨浦区,1.5-2万/月,07-23,无工作经验,,广告客户经理;文案/策划;策划;文案;项目管理,招2人
132,软件/互联网开发/系统集成,广东金晖通信科技有限公司,梅州,4.5-5.5千/月,07-23,2年经验,大专,互联网软件开发工程师;软件;互联网开发;系统集成,招3人
133,人力资源总监,广东八块钱网络科技有限公司东莞分公司,东莞-莞城区,2-3万/月,07-23,10年以上经验,本科,人事总监,招1人
134,管理会计,挪亚检测认证集团有限公司,上海,0.7-1万/月,07-23,2年经验,本科,会计;财务助理/文员;管理会计;会计;财务;成本会计,招1人
135,毕业生/管培生/储备干部+五险+双休,容维证券,合肥-滨湖新区,6-8千/月,07-23,无工作经验,,销售助理;应届毕业生;实习生,招5人
136,效果图设计师,广州源澳装饰设计有限公司,广州,4.5-6千/月,07-23,1年经验,中专,室内设计;助理;效果图;办公室;设计,招5人
137,项目助理,上海班德瑞工业用品有限公司,上海-长宁区,6-8千/月,07-23,2年经验,大专,商务助理;项目助理,招1人
138,跨境电商运营,广州瀚翼扬电子商务有限公司,广州-海珠区,4.5-8千/月,07-23,2年经验,大专,网站运营专员;贸易/外贸专员/助理;跨境电商;英语;亚马逊;外贸;Amazon;eBay;速卖通,招3人
139,总经理,陕西忠平路桥建筑工程有限公司,西安-雁塔区,0.8-1.5万/月,07-23,8-9年经验,本科,营运经理;首席执行官CEO/总裁/总经理,招1人
140,平面设计师,广州凯郡昇品餐饮管理有限公司,广州-白云区,6-8千/月,07-23,1年经验,大专,平面设计师,招1人
141,招投标专员/销售经理,广州峰巅计算机技术有限公司,广州-天河区,4.5-6千/月,07-23,无工作经验,,销售工程师;招投标;销售;商务经理;助理,招1人
142,工程项目经理（防水）,深圳市卓宝科技股份有限公司武汉分公司,武汉-武昌区,8-15万/年,07-23,无工作经验,,建筑工程管理/项目经理;建筑工程验收,招若干人
143,文员,广东构厦建设工程有限公司,广州-越秀区,2.5-4千/月,07-23,无工作经验,中专,其他,招1人
144,外贸单证员,无锡汉商纺织有限公司,无锡-滨湖区,3-4.5千/月,07-23,无工作经验,,单证员;贸易/外贸专员/助理;外贸;单证;外贸单证,招1人
145,生产担当,上海清钰服饰有限公司,上海-普陀区,6-8千/月,07-23,5-7年经验,中专,生产主管;生产计划;QC,招2人
146,恩阳项目总经理,重庆猪八戒网络有限公司,武汉-硚口区,1-1.5万/月,07-23,5-7年经验,本科,办事处/分公司/分支机构经理,招1人
147,射频连接器设计工程师,苏州瑞贝斯电子科技有限公司,苏州,6-8千/月,07-23,2年经验,,射频工程师;射频连接器;射频电缆组件;微波电缆组件,招1人
148,项目经理,广东卓源建设有限公司,东莞-南城区,1.5-2万/月,07-23,无工作经验,,项目经理;项目管理;项目经理;建造师;工程师,招5人
149,网络销售+无责底薪4000,武汉云慧链科技有限公司,武汉-洪山区,0.6-3万/月,07-23,无工作经验,高中,网络/在线销售;销售代表;网络销售;网络客服,招15人
150,电气工程师,朗捷威（上海）智能装备有限公司,湖州,0.8-1.8万/月,07-23,无工作经验,,电气工程师/技术员,招若干人
151,4000底薪包吃住+提成聘销售专员,广州市宏图餐饮管理有限公司,广州-白云区,0.6-1.2万/月,07-23,无工作经验,,销售代表;销售助理;电话销售;直销销售;渠道销售,招8人
152,自媒体运营（体育公众号）高薪,广州仁昌网络科技有限公司,广州-天河区,1-2万/月,07-23,2年经验,,新媒体运营;体育媒体运营,招2人
153,资深java工程师,上海骏聿数码科技有限公司,上海,1.5-2.8万/月,07-23,5-7年经验,大专,高级软件工程师;软件工程师;Java;软件开发;架构师;软件工程师;高并发;SpringCloud;SpringBoot,招2人
154,招商专员,上海风水隆工业系统集成有限公司,杭州-滨江区,,07-23,无工作经验,高中,物业招商/租赁/租售;市场/营销/拓展专员;高薪,招5人
155,钢结构工程师,武汉菲斯特科技有限公司,武汉-武汉经济开发区,4-5千/月,07-23,2年经验,大专,结构/土木/土建工程师;钢结构工程师,招1人
156,会计,中电远望（北京）科技有限公司,北京-朝阳区,6-8千/月,07-23,3-4年经验,大专,会计;会计经理/会计主管;会计;财务;税务,招1人
157,资质顾问（双休+东亭+高薪）,武汉辰联拓远建筑工程有限公司,武汉-武昌区,6-8千/月,07-23,无工作经验,,销售代表;客户代表;销售;销售代表;网络销售;电话销售,招5人
158,QC质量主管（服装内衣类）,小蝌蚪众创电商科技（广州）有限公司,广州-白云区,0.8-1万/月,07-23,3-4年经验,本科,质量管理/测试主管(QA/QC主管);质量管理/验货员(QA/QC);QC;质量;服装;内衣,招1人
159,王府井新燕莎sasa诚聘导购,Sasa-莎莎化妆品（中国）有限公司,北京-东城区,6-8千/月,07-23,1年经验,中专,店员/营业员;美容顾问;带薪年假;五险一金;年终双薪;奖金丰厚;全勤奖;人才推荐奖;节日福利;专业培训;立即上岗;员工旅游,招4人
160,高薪招聘投标专员包住宿,广东汕泰建筑工程有限公司,广州-白云区,3-4.5千/月,07-23,无工作经验,大专,资料员;行政专员/助理;投标;投标员;投标专员;资料员;行政文员;办公室文员,招若干人
161,急聘销售代表精英（高提成）白云区,广州惠良丰商贸有限公司,广州-白云区,3.5-8千/月,07-23,2年经验,初中及以下,销售代表;渠道/分销专员;销售代表;销售经理;交通补助;出差补贴,招3人
162,总裁助理/秘书,兰州华能生态能源科技股份有限公司,兰州,6-8千/月,07-23,无工作经验,,总裁助理/总经理助理;擅长公文写作,招1人
163,财务会计专员,盖亚昊通（深圳）国际物流有限公司,深圳-龙岗区,4.5-6千/月,07-23,1年经验,大专,会计;财务会计;财务;全盘会计,招1人
164,手术室护士,上海喜美医疗美容门诊部有限公司,上海-徐汇区,0.6-1.2万/月,07-23,无工作经验,,护士/护理人员,招1人
165,外贸,深圳扬俊科技有限公司,深圳-宝安区,0.6-1.5万/月,07-23,无工作经验,大专,贸易/外贸专员/助理;销售代表;外贸;外贸业务员;外贸专员;奖金丰厚;补充医疗保险;员工旅游;应届毕业生,招3人
166,支付业务运营,深圳市鸿易盛投资咨询有限公司,深圳-罗湖区,6-8千/月,07-23,1年经验,大专,系统管理员/网络管理员,招2人
167,二手车营业员导购,武汉谈个车汽车服务有限公司,武汉-硚口区,0.5-1万/月,07-23,无工作经验,,店员/营业员;导购员;商场超市店员;娱乐KTV接待;休闲娱乐前厅;休闲娱乐接待;休闲娱乐销售,招6人
168,操作专员,顺心捷达,武汉-东西湖区,3.5-5千/月,07-23,1年经验,高中,其他,招3人
169,外贸专员,深圳市铭正阳电子有限公司,深圳-宝安区,0.8-1万/月,07-23,1年经验,大专,贸易/外贸专员/助理;贸易/外贸经理/主管;外贸专员;贸易;外贸销售;带薪年假;专业培训;通讯补贴,招若干人
170,设备维修,无锡模达科技有限公司,无锡-无锡新区,6-8千/月,07-23,无工作经验,,维修工程师,招1人
171,贝壳/链家房产销售经纪人,辽宁贝壳房地产经纪有限公司,沈阳,4-9千/月,07-23,无工作经验,大专,房地产中介/置业顾问;房地产销售;房产销售;地产销售;房产经纪人,招10人
172,底薪3000+五险+家具导购（培训）,长沙市芙蓉区佳伽祥瑞建材商行,长沙-芙蓉区,4-8千/月,07-23,无工作经验,,导购员;销售代表;导购员;店员;营业员;销售代表;家具;居然之家,招6人
173,纱线采购员,南京海尔曼斯集团有限公司,南京-江宁区,6-8千/月,07-23,2年经验,大专,面料辅料采购;面料辅料开发;采购;纱线采购;原材料采购,招1人
