职位,公司,城市,工资,发布日期,经验要求,学历
python软件开发工程师,武汉芯云道数据科技有限公司,武汉-东湖新技...,10-15万/年,07-19,1年经验,本科
Python的工程师,云南荣冠教育科技有限公司,昆明-盘龙区,1-1.5万/月,07-19,无工作经验,本科
Python开发工程师/前端/爬虫,深圳市宇达计算机有限公司,深圳-南山区,4.5-6千/月,07-19,无工作经验,大专
Python开发工程师,浙江胄天科技股份有限公司,杭州,1.5-2.5万/月,07-19,3-4年经验,本科
Python数据处理开发工程师,广州竞远安全技术股份有限公司,广州,0.8-1.5万/月,07-19,2年经验,本科
python培训讲师,深圳市智羽信息科技有限公司,深圳-南山区,0.6-1万/月,07-19,1年经验,本科
Python开发工程师,上海力信测量系统有限公司,上海-浦东新区,6-8千/月,07-19,1年经验,本科
python开发工程师（前景好，双休）,深圳木星风暴科技有限公司,深圳-宝安区,4.5-8千/月,07-19,无工作经验,大专
python开发工程师（深圳）,深圳泽派信息技术有限公司,深圳-南山区,4.5-8千/月,07-19,无工作经验,大专
Python开发工程师,深圳市东方华信科技有限公司,北京,0.8-1.5万/月,07-19,2年经验,本科
Python Tech Manager for Data Project,Michael Page,广州,30-50万/年,07-19,5-7年经验,本科
python后台开发,深圳兴融联科技股份有限公司,深圳-南山区,1.3-1.8万/月,07-19,3-4年经验,大专
Python少儿编程老师,深圳点猫科技有限公司,武汉-洪山区,0.8-1.5万/月,07-19,无工作经验,本科
高级Python老师（佛山禅城）,深圳阿童木教育科技有限公司,佛山-禅城区,6-8千/月,07-19,1年经验,大专
高级Python工程师(000642),紫光股份有限公司,上海,1.5-3万/月,07-19,5-7年经验,本科
Python开发工程师,深圳市华云中盛科技有限公司,杭州-西湖区,1.2-1.8万/月,07-19,3-4年经验,本科
Python开发经理（金融科技）,交银企业管理服务（上海）有限公司...,上海-徐汇区,1.5-2万/月,07-19,5-7年经验,本科
Python开发工程师,图玛深维医疗科技（北京）有限公司,苏州-工业园区,1-2万/月,07-19,1年经验,本科
python开发工程师(爬虫方向）,上海晟合坤信息技术有限公司,上海-闵行区,1-2万/月,07-19,2年经验,大专
Python后端开发工程师,源杉数据科技（上海）有限公司,上海-杨浦区,1.5-2.5万/月,07-19,5-7年经验,本科
资深Python软件工程师,威廉欧奈尔信息科技（上海）有限公司,上海-浦东新区,2-3.5万/月,07-19,3-4年经验,本科
高级Python/C++研发工程师,青岛艾德软件有限公司,青岛-黄岛区,1.2-1.5万/月,07-19,3-4年经验,本科
Python讲师,武汉弘博职业培训学校,武汉-洪山区,6-8千/月,07-19,2年经验,本科
python-web 全栈工程师,杭州创慧信息技术有限公司,杭州-滨江区,0.8-1.2万/月,07-19,无工作经验,本科
Python Web开发工程师,嘉兴构美信息技术有限公司,杭州-江干区,1.2-2万/月,07-19,3-4年经验,本科
Python-RPA开发岗位实习生,米思米（中国）精密机械贸易有限公司,上海-静安区,184元/天,07-19,无工作经验,本科
Python开发工程师,深圳宝瓶互联网有限公司,深圳-南山区,1-1.5万/月,07-19,1年经验,大专
Python高级开发工程师,北京棣南新宇科技有限公司,北京-海淀区,1.5-2万/月,07-19,3-4年经验,本科
Python 爬虫工程师,慧科讯业（北京）网络科技有限公司,深圳-南山区,0.7-1.4万/月,07-19,无工作经验,本科
量化策略研究员（擅长Python）,米道（上海）投资有限公司,上海-徐汇区,0.8-1万/月,07-19,2年经验,本科
PYTHON#PHP# ERP软件工程师,天意有福科技股份有限公司,广州-天河区,0.9-1.5万/月,07-19,2年经验,大专
高级后端研发工程师(node/python),深圳市中联创新自控系统有限公司,深圳-福田区,1.8-3万/月,07-19,3-4年经验,本科
Python开发工程师,上海易宝软件有限公司,东莞-松山湖区,0.8-1.5万/月,07-19,1年经验,本科
Python后台开发工程师,广州游爱网络技术有限公司,广州,0.7-1.2万/月,07-19,2年经验,大专
Python高级开发工程师,武汉慧通远达信息技术有限公司,武汉-江汉区,0.6-1.8万/月,07-19,2年经验,本科
高级Python开发工程师,大连联合企邦科技有限公司,大连,30-60万/年,07-19,3-4年经验,本科
python开发工程师(J11765),作业帮教育科技（北京）有限公司,北京-海淀区,2-4万/月,07-19,2年经验,本科
Python开发工程师,中电科嘉兴新型智慧城市科技发展有...,嘉兴,0.7-1.5万/月,07-19,3-4年经验,本科
Python开发工程师,广东盛迪嘉集团有限公司,深圳-南山区,2-2.5万/月,07-19,3-4年经验,本科
python开发工程师讲师,襄阳三阳教育科技有限公司,襄阳,1-1.5万/月,07-19,2年经验,大专
"C++,python开发工程师",杭州金时资产管理有限公司,杭州-西湖区,15-50万/年,07-19,无工作经验,本科
Python工程师,上海维恩孛特信息技术有限公司,北京-西城区,0.8-1.6万/月,07-19,2年经验,本科
初级产品开发工程师（java/python）,金财互联数据服务有限公司,广州,0.6-1万/月,07-19,1年经验,本科
金融数据分析和机器学习(python),上海携宁计算机科技股份有限公司,上海-徐汇区,0.8-1.2万/月,07-19,无工作经验,硕士
Python开发工程师,魔视智能科技（上海）有限公司,上海-浦东新区,1-2.5万/月,07-19,3-4年经验,本科
Python工程师,东莞市诚誉商务信息咨询有限公司,东莞-南城区,0.5-1万/月,07-19,2年经验,大专
云平台 python 高级开发工程师,广东紫晶信息存储技术股份有限公司,广州-番禺区,1.5-2万/月,07-19,3-4年经验,本科
